university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count
Fudan University,2017,43,79.4,https://www.topuniversities.com/universities/fudan-university,China (Mainland),Shanghai,Asia,https://www.topuniversities.com/sites/default/files/fudan-university_218_small.jpg,Public,Very High,6,5322.00,L,4526.00
The Chinese University of Hong Kong (CUHK),2017,44,78.1,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,Hong Kong SAR,Hong Kong,Asia,https://www.topuniversities.com/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small.jpg,Public,Very High,8,6062.00,L,2201.00
University of British Columbia,2017,45,78,https://www.topuniversities.com/universities/university-british-columbia,Canada,Vancouver,North America,https://www.topuniversities.com/sites/default/files/university-of-british-columbia_70_small.jpg,Public,Very High,9,15399.00,XL,6201.00
The University of Sydney,2017,46,77.9,https://www.topuniversities.com/universities/university-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg,Public,Very High,13,25940.00,XL,3571.00
New York University (NYU),2017,46,77.9,https://www.topuniversities.com/universities/new-york-university-nyu,United States of America,New York City,North America,https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg,Private,Very High,6,16218.00,XL,7874.00
KAIST - Korea Advanced Institute of Science & Technology,2017,46,77.9,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology,South Korea,Daejeon,Asia,https://www.topuniversities.com/sites/default/files/kaist-korea-advanced-institute-of-science-technology_324_small.jpg,Public,Very High,8,869.00,M,1307.00
The University of New South Wales (UNSW Sydney),2017,49,77.8,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,Australia,Sydney,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-new-south-wales-unsw-sydney_447_small.jpg,Public,Very High,14,21603.00,XL,3219.00
Brown University,2017,49,77.8,https://www.topuniversities.com/universities/brown-university,United States of America,Providence,North America,https://www.topuniversities.com/sites/default/files/brown-university_72_small.jpg,Private,Very High,7,2002.00,M,1389.00
The University of Queensland,2017,51,77.6,https://www.topuniversities.com/universities/university-queensland,Australia,Brisbane,Oceania,https://www.topuniversities.com/sites/default/files/the-university-of-queensland_515_small.jpg,Public,Very High,12,22241.00,XL,3513.00
The University of Warwick,2017,51,77.6,https://www.topuniversities.com/universities/university-warwick,United Kingdom,Coventry,Europe,https://www.topuniversities.com/sites/default/files/the-university-of-warwick_664_small.jpg,Public,Very High,9,10459.00,L,2634.00
University of Wisconsin-Madison,2017,53,75.7,https://www.topuniversities.com/universities/university-wisconsin-madison,United States of America,Madison,North America,https://www.topuniversities.com/sites/default/files/university-of-wisconsin-madison_678_small.jpg,Public,Very High,8,5737.00,XL,5166.00
